ABBR,NAME,DIVISION
ANA,ANAHEIM DUCKS,PACIFIC
BOS,BOSTON BRUINS,ATLANTIC
BUF,BUFFALO SABRES,ATLANTIC
CAR,CAROLINA HURRICANES,METROPOLITAN
CBJ,COLUMBUS BLUE JACKETS,METROPOLITAN
CGY,CALGARY FLAMES,PACIFIC
CHI,CHICAGO BLACKHAWKS,CENTRAL
COL,COLORADO AVALANCHE,CENTRAL
DAL,DALLAS STARS,CENTRAL
DET,DETROIT RED WINGS,ATLANTIC
EDM,EDMONTON OILERS,PACIFIC
FLA,FLORIDA PANTHERS,ATLANTIC
LAK,LOS ANGELES KINGS,PACIFIC
MIN,MINNESOTA WILD,CENTRAL
MTL,MONTREAL CANADIENS,ATLANTIC
NJD,NEW JERSEY DEVILS,METROPOLITAN
NSH,NASHVILLE PREDATORS,CENTRAL
NYI,NEW YORK ISLANDERS,METROPOLITAN
NYR,NEW YORK RANGERS,METROPOLITAN
OTT,OTTAWA SENATORS,ATLANTIC
PHI,PHILADELPHIA FLYERS,METROPOLITAN
PIT,PITTSBURGH PENGUINS,METROPOLITAN
SEA,SEATTLE KRAKEN,PACIFIC
SJS,SAN JOSE SHARKS,PACIFIC
STL,ST. LOUIS BLUES,CENTRAL
TBL,TAMPA BAY LIGHTNING,ATLANTIC
TOR,TORONTO MAPLE LEAFS,ATLANTIC
UTA,UTAH MAMMOTH,CENTRAL
VAN,VANCOUVER CANUCKS,PACIFIC
VEG,VEGAS GOLDEN KNIGHTS,PACIFIC
WPG,WINNIPEG JETS,CENTRAL
WSH,WASHINGTON CAPITALS,METROPOLITAN